name,description,price_usd,sku,status,url_slug
"Warbler Birding Journal Printable Bundle, Migration Log Kit",Instant digital download for birdwatchers.,9.99,DIGI-WARBLER-BUNDLE-001,ready,digi-warbler-bundle-001
"California Birding Life List Checklist Printable, Birdwatch Log",Instant digital download for birdwatchers.,5.99,DIGI-STATE-CALIFORNIA,ready,digi-state-california
"Texas Birding Life List Checklist Printable, Birdwatch Log",Instant digital download for birdwatchers.,5.99,DIGI-STATE-TEXAS,ready,digi-state-texas
"Florida Birding Life List Checklist Printable, Birdwatch Log",Instant digital download for birdwatchers.,5.99,DIGI-STATE-FLORIDA,ready,digi-state-florida
"New York Birding Life List Checklist Printable, Birdwatch Log",Instant digital download for birdwatchers.,5.99,DIGI-STATE-NEW-YORK,ready,digi-state-new-york
"Washington Birding Life List Checklist Printable, Birdwatch Log",Instant digital download for birdwatchers.,5.99,DIGI-STATE-WASHINGTON,ready,digi-state-washington
"Colorado Birding Life List Checklist Printable, Birdwatch Log",Instant digital download for birdwatchers.,5.99,DIGI-STATE-COLORADO,ready,digi-state-colorado
"North Carolina Birding Life List Checklist Printable, Birdwatch Log",Instant digital download for birdwatchers.,5.99,DIGI-STATE-NORTH-CAROLINA,ready,digi-state-north-carolina
"Arizona Birding Life List Checklist Printable, Birdwatch Log",Instant digital download for birdwatchers.,5.99,DIGI-STATE-ARIZONA,ready,digi-state-arizona
"Oregon Birding Life List Checklist Printable, Birdwatch Log",Instant digital download for birdwatchers.,5.99,DIGI-STATE-OREGON,ready,digi-state-oregon
"Pennsylvania Birding Life List Checklist Printable, Birdwatch Log",Instant digital download for birdwatchers.,5.99,DIGI-STATE-PENNSYLVANIA,ready,digi-state-pennsylvania
Spring Migration Weekly Bird Tracker Printable v1,Instant digital download for birdwatchers.,4.99,DIGI-MIGRATION-WEEKLY-001,draft,digi-migration-weekly-001
Spring Migration Weekly Bird Tracker Printable v2,Instant digital download for birdwatchers.,4.99,DIGI-MIGRATION-WEEKLY-002,draft,digi-migration-weekly-002
Spring Migration Weekly Bird Tracker Printable v3,Instant digital download for birdwatchers.,4.99,DIGI-MIGRATION-WEEKLY-003,draft,digi-migration-weekly-003
Spring Migration Weekly Bird Tracker Printable v4,Instant digital download for birdwatchers.,4.99,DIGI-MIGRATION-WEEKLY-004,draft,digi-migration-weekly-004
Spring Migration Weekly Bird Tracker Printable v5,Instant digital download for birdwatchers.,4.99,DIGI-MIGRATION-WEEKLY-005,draft,digi-migration-weekly-005
Spring Migration Weekly Bird Tracker Printable v6,Instant digital download for birdwatchers.,4.99,DIGI-MIGRATION-WEEKLY-006,draft,digi-migration-weekly-006
Spring Migration Weekly Bird Tracker Printable v7,Instant digital download for birdwatchers.,4.99,DIGI-MIGRATION-WEEKLY-007,draft,digi-migration-weekly-007
Spring Migration Weekly Bird Tracker Printable v8,Instant digital download for birdwatchers.,4.99,DIGI-MIGRATION-WEEKLY-008,draft,digi-migration-weekly-008
Spring Migration Weekly Bird Tracker Printable v9,Instant digital download for birdwatchers.,4.99,DIGI-MIGRATION-WEEKLY-009,draft,digi-migration-weekly-009
